"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"2","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"3","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"4","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"5","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"6","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"7","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"8","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"9","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"10","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"11","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"12","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"13","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"14","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,0
"15","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,2
"16","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,69
"17","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,201
"18","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,422
"19","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,507
"20","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,831
"21","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,1198
"22","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,1364
"23","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,1599
"24","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,1821
"25","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,2253
"26","111722","NH","LH","RSPv","0.188","LD","W2-2.3","(+)5.500","(+)2.500",318.90234375,"X",256,1,1,2378
