"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"2","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"3","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"4","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"5","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"6","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"7","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"8","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"9","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"10","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"11","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"12","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"13","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"14","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"15","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"16","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"17","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"18","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
"19","111722","SW P0-P1","RH","ACAd","0.121","LD","W1-2.2","(+)4.000","(-)1.500",204.9296875,"X",256,1,1,0
