"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"2","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"3","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"4","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"5","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"6","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"7","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"8","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"9","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"10","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"11","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"12","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"13","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"14","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"15","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"16","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"17","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"18","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,0
"19","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,1
"20","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,31
"21","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,367
"22","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,979
"23","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,758
"24","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,932
"25","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,1358
"26","111722","NW","RH","RSPd","0.17","LD","W2-2.3","(+)2.500","(+)3.500",61.3805544750673,1261.78794490954,"E",247,1,2,2123
