"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,1786
"2","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,2235
"3","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,4074
"4","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,7882
"5","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,12382
"6","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,12538
"7","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,10050
"8","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,6543
"9","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,4912
"10","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,3621
"11","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,3069
"12","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,2498
"13","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,2279
"14","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,2141
"15","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,1778
"16","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,1725
"17","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,1627
"18","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,1429
"19","111722","SH P0-P1","LH","VISC","0.229","JM","W1-2.2","(-)6.000","(-)3.000",272.960083749709,510.844996414282,"E",247,1,2,1393
