"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"2","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"3","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"4","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"5","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"6","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"7","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"8","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"9","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"10","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"11","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"12","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
"13","111722","SH P0-P1","RH","MOp","0.136","JM","W3-2.1","(-)6.000","(-)3.000",38.6147649909566,2514.55865944235,"E",256,1,2,0
