"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"2","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"3","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"4","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"5","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"6","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"7","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"8","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"9","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"10","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,0
"11","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,7
"12","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,25
"13","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,30
"14","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,40
"15","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,57
"16","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,60
"17","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,62
"18","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,257
"19","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,2297
"20","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,6298
"21","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,8050
"22","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,5962
"23","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,4686
"24","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,4215
"25","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,3597
"26","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,3743
"27","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,5170
"28","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,8381
"29","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,13337
"30","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,17155
"31","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,17596
"32","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,17050
"33","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,15965
"34","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,13462
"35","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,11646
"36","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,10165
"37","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,9326
"38","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,8386
"39","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,7280
"40","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,6514
"41","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,5531
"42","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,4176
"43","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,3052
"44","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,2628
"45","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,2014
"46","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,1723
"47","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,1458
"48","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,1239
"49","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,1054
"50","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,945
"51","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,781
"52","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,706
"53","111722","SW P0-P5","RH","MOs","0.533","LD","W3-1.2","(+)8.500","(-)1.000",276.467003952734,11709.5819229104,"E",256,1,2,640
