"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"2","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"3","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"4","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"5","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"6","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"7","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"8","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"9","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"10","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"11","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"12","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"13","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"14","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"15","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"16","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"17","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"18","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"19","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"20","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"21","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"22","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"23","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"24","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,0
"25","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,39
"26","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,171
"27","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,498
"28","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,692
"29","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,576
"30","111722","SH P0-P5","LH","RSPv","0.231","RS","W3-3.1","(+)2.500","(-)2.500",83.7220768949048,1262.24839068432,"E",256,1,2,924
