"","cohort","condition","hemisphere","subregion","area","author","coordinates","rotation_x","rotation_y","mean_1","mean_2","model_name","n","d","num_of_clusters","intensity"
"1","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"2","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"3","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"4","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"5","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"6","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"7","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"8","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"9","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"10","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"11","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"12","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"13","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,0
"14","111722","SW P0-P1","RH","VISp","0.135","LD","W3-3.1","(+)4.000","(-)1.500",152.798653287207,314.451217930543,"E",256,1,2,23
